frequency_hz,dB,pedal,gain,tone
18949.21875,-28.607250000000008,Ibanez TS808,50%,0%
18992.285156,-28.727637,Ibanez TS808,50%,0%
19035.351562,-28.418434000000005,Ibanez TS808,50%,0%
19078.417969,-28.826048999999998,Ibanez TS808,50%,0%
19121.484375,-29.446269000000008,Ibanez TS808,50%,0%
19164.550781,-29.474666000000006,Ibanez TS808,50%,0%
19207.617188,-28.77627100000001,Ibanez TS808,50%,0%
19250.683594,-28.876914,Ibanez TS808,50%,0%
19293.75,-28.977615000000007,Ibanez TS808,50%,0%
19336.816406,-28.226058000000002,Ibanez TS808,50%,0%
19379.882812,-28.29720600000001,Ibanez TS808,50%,0%
19422.949219,-28.772410000000008,Ibanez TS808,50%,0%
19466.015625,-29.096049000000008,Ibanez TS808,50%,0%
19509.082031,-29.489517000000006,Ibanez TS808,50%,0%
19552.148438,-28.745780000000003,Ibanez TS808,50%,0%
19595.214844,-28.331542,Ibanez TS808,50%,0%
19638.28125,-28.726108000000004,Ibanez TS808,50%,0%
19681.347656,-28.869632000000003,Ibanez TS808,50%,0%
19724.414062,-29.363743000000007,Ibanez TS808,50%,0%
19767.480469,-29.214172000000005,Ibanez TS808,50%,0%
19810.546875,-29.052074000000005,Ibanez TS808,50%,0%
19853.613281,-29.627548000000004,Ibanez TS808,50%,0%
19896.679688,-30.078674000000007,Ibanez TS808,50%,0%
19939.746094,-29.240295000000003,Ibanez TS808,50%,0%
19982.8125,-28.949314,Ibanez TS808,50%,0%
43.066406,-21.115697,Ibanez TS808,50%,100%
86.132812,-13.805108000000004,Ibanez TS808,50%,100%
129.199219,-10.059513000000006,Ibanez TS808,50%,100%
172.265625,-8.057294000000002,Ibanez TS808,50%,100%
215.332031,-6.536494000000005,Ibanez TS808,50%,100%
258.398438,-5.478946000000004,Ibanez TS808,50%,100%
301.464844,-3.6468390000000035,Ibanez TS808,50%,100%
344.53125,-2.421242000000003,Ibanez TS808,50%,100%
387.597656,-1.8268390000000032,Ibanez TS808,50%,100%
430.664062,-1.2173640000000034,Ibanez TS808,50%,100%
473.730469,-0.492244000000003,Ibanez TS808,50%,100%
516.796875,-0.008667000000002645,Ibanez TS808,50%,100%
